word,Spelling variations
ahapan,ahapan | ahpn | ahapiya
appiriyai,appiriyai | appiriyay | apiriyama
asahane,asahaneda
awalame,awalame
baduwa,baduwa | badu | baduda | baduwakne | baduwakd
bahukapan,bawkapan | hukaaapan | bahukapan
balla,blla | ballo | balla | balu
balli,balli | blli
balukatha,balukatha
baninanawa,baninawa | banahan | banhan | banhn | banapiya
booruwa,buuruwa | buruwa | boooruwa
cari,cari | crima
cuddah,cuddah
dagalaana,dagalaana
eki,ekit | ekige
eladena,eladena | elaharaka | buru eladena
fuck,f………..k
gala,gala
gani,ganii | ganiye | ganu | gani | gni | ganitaa
gahanawa,gahapan | gahapiya | gahamu | ghnp
geriya,geri | geriya | geri balla
gobba,gobba | gobbaya | gobilaya | gobbayekda
gona,gon namba | gona | gon | gonnu | gonek | gongaha | gon atal
gotha,gotha
gu,gu | guu
hadu,hadu
hakera,haekarakatak
halparuwa,halparuwek | hlparuwa | haalparuwa
haminenawa,haminenawa | hminiyan | hminennawa | haminila | hamini | haminiyan | haminenna
haraka,gon haraka | haraka | ela haraka
hirikita,hirikitayak
hukanwa,hukanawa | hukahan | hukhn | hukpn | hkpn | hukaagannamda | hukanna | hikuwa
huranawa,huranawa | surananwa | hurapan
huththi,huththi | hutti | huttige | huttge | huththige | httiyonge | httiyk | httiyek | htti | httige | httk | wutti | wotti | whotti | whoththi | whottita | wttiyonwa | whottiye | utti | uttit | uttiynt | puththi
huththo,huththa | huththo | huththak | hutta | hutto | huttak | huthrhak | hto | htto|  huttwl | hu%# | wtto | utto | wupto | whuttawal
idapan,idahan | idapan | idhn | idpn
iya,iya | iiiya
jathake,jathake
kabba,kabbek | kabba | kabbo
kakka,kakka
kalakanni,kalakanni | kalakanniya | kalakinniyo
kali kapanawa,kapanawa kali | kalii kapanwa | kali kapnwa
kariya,kari | kamriya | kariya | kariyaaa | kariyek
karumayak,karumayak | karume | karumakkaraya | karuma
kimba,kimba
kolu karayek,kolu karayek
kotanawa,kotnwa | kotanwa | kotapan | kotapiya | kotahan
kukku,kukku
labba,labbal | labbo | labbak
maranawa,maranawa | maranwaa | marnwa| mariyan
marapan,marpn | marapan | marapiya
marici,marici | marisi
mee haraka,mee-haraka | meeharaka | haraka | mi haraka | miharaka | maha booruwek
mekige,mekige | mekiwa
modaya,modayek | moodaya | muudaya |moda
mongal,mongal
mottaya,motta | mottaya
mu,munta | moon
musalaya,muusalaya | moosalaya | musalaya | musalayaa
nagapan,nagapan | nagahan | nagapiya
oi,oii | oi
okige,okihe
olmaada,olmaada
pada,pada | pada show
paiya,payya | paiya
pakaya,pacaya | pakya | paka | pakayaa | pako | paco | pakoo | pkk | pakayo | pakada | pkya
pakichchi,pakichchi | pakiya
palayan,palayanko | plynko | palako | pala | palayan | plyn | palayang
paratti,paratti | paratta | parattaya
paraya,paraya
pissa,pissa | pissek | pissu | pissuda | piccu | pizzu
ponnaya,ponnaya | pnnya | ponna | ponnayek
poyya,poyya
puka,puka | puk | puked | puca | p***
pyek,pcyek
sakkili,sakkili | sakkiliya
sunakaya,sunaka | sunakaya | dhathu sunakaya | sunkaya
thakkadiya,takkadiya | thakkadi | thakkadiya
thamuse,tamuse | thamuse | tause
thattaya,tattaya | thattaya
thirisanek,thirisanek | thiricanek
tho,tho | thoo | thota |tota | thoge
thuththukudiya,tuttukudiya | thuththukudiya
uba,umba | uba | ubta | ub | uber
ura,uro | uuro | uuru
urek,urek
walaththaya,wal | wala | walattaya | walaa
wassa,wassa | wassek | gon wassa
wesi,weesi | weasi | wesige | wesey | wesa | wesiyo | vesi | vsigput | wsgpthata
yako,yako | yakoo | yaki | yaku | yakuu
